,Gender,EthnicGroup_0,EthnicGroup_1,EthnicGroup_2,ParentEduc_0,ParentEduc_1,ParentEduc_2,LunchType,TestPrep,ParentMaritalStatus_0,ParentMaritalStatus_1,ParentMaritalStatus_2,PracticeSport_0,PracticeSport_1,PracticeSport_2,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours_0,WklyStudyHours_1,MathScore,ReadingScore,WritingScore
13,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1.0986122886681098,0,0,1,3.8918202981106265,3.9889840465642745,4.07753744390572
14,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0.0,0,1,0,4.248495242049359,4.330733340286331,4.3694478524670215
15,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0.0,1,1,0,4.48863636973214,4.499809670330265,4.465908118654584
16,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0.6931471805599453,1,1,0,2.9444389791664403,3.49650756146648,3.367295829986474
17,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0.6931471805599453,0,1,0,3.8501476017100575,3.7612001156935615,3.871201010907891
18,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1.3862943611198906,0,0,1,3.9318256327243257,4.04305126783455,4.07753744390572
19,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1.791759469228055,1,1,0,4.204692619390966,4.248495242049359,4.158883083359672
20,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1.0986122886681098,1,1,0,4.189654742026425,4.330733340286331,4.262679877041316
21,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1.791759469228055,1,1,0,3.7612001156935615,3.9889840465642745,3.951243718581428
22,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1.3862943611198906,1,1,0,4.204692619390966,4.276666119016055,4.276666119016055
23,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1.0986122886681098,1,1,0,4.31748811353631,4.276666119016055,4.394449154672439
24,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0.6931471805599453,1,1,0,4.330733340286331,4.343805421853684,4.343805421853684
25,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1.791759469228055,1,0,1,4.204692619390966,3.9889840465642745,3.9889840465642745
26,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1.6094379124341005,1,1,1,4.248495242049359,4.262679877041316,4.343805421853684
27,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0.6931471805599453,0,1,0,4.262679877041316,4.262679877041316,4.189654742026425
28,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0.0,0,0,1,4.204692619390966,4.290459441148391,4.290459441148391
29,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1.791759469228055,1,1,0,4.158883083359672,4.189654742026425,4.127134385045092
30,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.6931471805599453,1,1,0,4.04305126783455,4.30406509320417,4.204692619390966
31,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1.0986122886681098,0,1,0,3.713572066704308,3.7612001156935615,3.6635616461296463
32,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0.0,1,1,0,4.584967478670572,4.477336814478207,4.418840607796598
33,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1.0986122886681098,0,1,0,4.343805421853684,4.418840607796598,4.454347296253507
34,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0.6931471805599453,0,1,0,3.951243718581428,4.174387269895637,4.110873864173311
35,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0.6931471805599453,1,1,0,4.356708826689592,4.5217885770490405,4.51085950651685
36,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1.791759469228055,1,1,0,4.07753744390572,4.04305126783455,4.07753744390572
37,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0.0,1,1,0,3.9889840465642745,4.110873864173311,3.970291913552122
38,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0.6931471805599453,1,1,0,4.0943445622221,4.31748811353631,4.248495242049359
39,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1.3862943611198906,1,1,0,4.110873864173311,4.189654742026425,4.219507705176107
40,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1.791759469228055,1,0,1,3.8918202981106265,4.02535169073515,3.970291913552122
41,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1.3862943611198906,1,0,1,4.158883083359672,3.9889840465642745,4.02535169073515
42,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1.3862943611198906,1,1,0,4.418840607796598,4.442651256490317,4.418840607796598
43,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1.3862943611198906,1,1,1,4.007333185232471,4.02535169073515,3.8918202981106265
44,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1.0986122886681098,0,0,1,4.343805421853684,4.23410650459726,4.23410650459726
45,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1.3862943611198906,1,1,1,4.04305126783455,3.828641396489095,3.784189633918261
46,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1.0986122886681098,1,1,0,4.48863636973214,4.3694478524670215,4.330733340286331
47,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1.0986122886681098,0,1,0,3.5263605246161616,3.737669618283368,3.784189633918261
48,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1.3862943611198906,1,1,1,4.442651256490317,4.465908118654584,4.477336814478207
49,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1.0986122886681098,0,1,0,3.970291913552122,4.02535169073515,3.912023005428146
50,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0.6931471805599453,0,1,1,4.127134385045092,4.110873864173311,4.110873864173311
51,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1.791759469228055,0,1,0,4.143134726391533,4.127134385045092,4.02535169073515
52,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0.0,1,1,0,4.0943445622221,4.07753744390572,4.0943445622221
53,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0.6931471805599453,0,0,1,4.158883083359672,4.143134726391533,4.07753744390572
54,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1.6094379124341005,1,1,0,3.828641396489095,3.6375861597263857,3.6375861597263857
55,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1.3862943611198906,1,1,0,4.127134385045092,4.30406509320417,4.330733340286331
56,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1.3862943611198906,1,1,0,4.143134726391533,4.07753744390572,4.060443010546419
57,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1.3862943611198906,1,1,0,3.688879454113936,4.174387269895637,4.060443010546419
58,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1.3862943611198906,0,1,1,4.174387269895637,4.02535169073515,4.174387269895637
59,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0.6931471805599453,0,1,0,3.7612001156935615,3.951243718581428,3.912023005428146
60,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1.3862943611198906,1,1,0,4.0943445622221,4.04305126783455,4.007333185232471
61,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1.0986122886681098,0,0,1,3.871201010907891,3.8918202981106265,3.713572066704308
62,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1.791759469228055,1,1,0,3.367295829986474,3.258096538021482,3.091042453358316
63,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1.0986122886681098,1,1,1,4.143134726391533,4.330733340286331,4.30406509320417
64,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0.6931471805599453,1,1,0,4.110873864173311,4.23410650459726,4.23410650459726
65,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0.0,0,1,1,3.912023005428146,3.9318256327243257,3.970291913552122
66,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0.0,0,1,0,3.912023005428146,3.828641396489095,3.828641396489095
67,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0.0,0,1,0,4.31748811353631,4.174387269895637,4.174387269895637
68,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1.3862943611198906,0,1,0,3.713572066704308,3.6635616461296463,3.5263605246161616
69,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0.0,0,1,0,4.30406509320417,4.394449154672439,4.418840607796598
70,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0.0,0,1,0,4.276666119016055,4.276666119016055,4.31748811353631
71,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1.3862943611198906,1,0,1,4.060443010546419,4.248495242049359,4.219507705176107
72,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1.6094379124341005,1,1,0,3.332204510175204,3.555348061489413,3.610917912644224
73,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0.6931471805599453,1,0,1,4.23410650459726,4.356708826689592,4.248495242049359
74,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1.3862943611198906,0,1,1,3.828641396489095,3.8501476017100575,3.970291913552122
75,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1.6094379124341005,0,1,0,4.406719247264253,4.477336814478207,4.553876891600541
76,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1.791759469228055,1,1,0,4.158883083359672,4.189654742026425,4.127134385045092
77,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0.0,1,0,1,4.0943445622221,4.248495242049359,4.204692619390966
78,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1.0986122886681098,1,1,1,4.127134385045092,4.248495242049359,4.174387269895637
79,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1.3862943611198906,1,0,1,4.174387269895637,4.204692619390966,4.143134726391533
80,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,2.079441541679836,1,1,0,4.382026634673881,4.219507705176107,4.219507705176107
81,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0.6931471805599453,0,1,0,4.23410650459726,4.31748811353631,4.31748811353631
82,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1.3862943611198906,1,1,0,4.477336814478207,4.532599493153256,4.5217885770490405
83,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1.3862943611198906,1,1,0,4.127134385045092,3.80666248977032,3.8918202981106265
84,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0.6931471805599453,1,1,1,4.61512051684126,4.48863636973214,4.553876891600541
85,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0.0,1,1,0,4.07753744390572,4.219507705176107,4.290459441148391
86,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1.3862943611198906,0,1,0,4.477336814478207,4.61512051684126,4.61512051684126
87,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0.0,1,1,0,4.204692619390966,4.158883083359672,4.174387269895637
88,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1.0986122886681098,1,1,0,3.970291913552122,4.343805421853684,4.262679877041316
89,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1.3862943611198906,1,1,0,4.290459441148391,4.174387269895637,4.30406509320417
90,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1.6094379124341005,1,1,1,4.382026634673881,4.51085950651685,4.605170185988092
91,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1.9459101490553128,1,1,0,4.158883083359672,4.02535169073515,3.9318256327243257
92,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0.0,1,1,0,4.007333185232471,3.9889840465642745,3.871201010907891
93,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0.6931471805599453,1,0,1,3.871201010907891,4.04305126783455,3.951243718581428
94,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1.3862943611198906,1,0,1,4.59511985013459,4.605170185988092,4.61512051684126
95,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1.6094379124341005,0,1,0,4.442651256490317,4.356708826689592,4.31748811353631
96,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0.6931471805599453,1,1,0,4.290459441148391,4.430816798843313,4.382026634673881
97,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1.0986122886681098,0,1,0,4.330733340286331,4.394449154672439,4.356708826689592
98,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0.0,0,1,1,4.007333185232471,4.174387269895637,4.158883083359672
99,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1.3862943611198906,1,1,0,4.02535169073515,4.248495242049359,4.189654742026425
100,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0.6931471805599453,1,1,0,4.343805421853684,4.51085950651685,4.465908118654584
101,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1.3862943611198906,1,0,1,4.48863636973214,4.477336814478207,4.51085950651685
102,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0.6931471805599453,1,1,0,4.51085950651685,4.553876891600541,4.564348191467836
103,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1.3862943611198906,0,1,0,4.158883083359672,4.060443010546419,4.04305126783455
104,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1.3862943611198906,1,0,1,4.418840607796598,4.382026634673881,4.30406509320417
105,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1.0986122886681098,1,1,1,4.465908118654584,4.553876891600541,4.454347296253507
106,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1.3862943611198906,0,1,0,4.290459441148391,4.23410650459726,4.219507705176107
107,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1.3862943611198906,1,0,1,4.174387269895637,4.343805421853684,4.31748811353631
108,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1.0986122886681098,0,0,1,4.356708826689592,4.406719247264253,4.290459441148391
109,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0.0,1,1,0,3.970291913552122,3.912023005428146,3.970291913552122
110,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0.6931471805599453,1,0,1,4.477336814478207,4.442651256490317,4.418840607796598
111,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0.6931471805599453,0,0,1,3.970291913552122,3.610917912644224,3.713572066704308
112,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1.0986122886681098,1,1,0,4.499809670330265,4.330733340286331,4.276666119016055
113,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1.9459101490553128,1,0,1,4.262679877041316,4.3694478524670215,4.394449154672439
114,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0.6931471805599453,0,1,1,4.343805421853684,4.394449154672439,4.343805421853684
115,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0.6931471805599453,1,0,1,4.04305126783455,4.007333185232471,3.871201010907891
116,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0.6931471805599453,0,1,0,3.951243718581428,4.007333185232471,3.737669618283368
117,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0.0,1,0,1,4.219507705176107,4.007333185232471,4.007333185232471
118,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0.6931471805599453,0,1,0,4.0943445622221,4.204692619390966,4.219507705176107
119,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0.0,0,1,1,4.30406509320417,4.127134385045092,4.262679877041316
120,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0.6931471805599453,1,1,0,4.343805421853684,4.290459441148391,4.276666119016055
121,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1.0986122886681098,0,1,0,4.110873864173311,4.143134726391533,4.189654742026425
122,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0.6931471805599453,0,0,1,3.737669618283368,4.007333185232471,4.007333185232471
123,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0.6931471805599453,1,1,0,4.060443010546419,3.784189633918261,3.871201010907891
124,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1.3862943611198906,0,1,1,4.51085950651685,4.31748811353631,4.382026634673881
125,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0.6931471805599453,1,0,1,3.091042453358316,3.6635616461296463,3.5263605246161616
126,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0.6931471805599453,0,0,1,4.189654742026425,4.30406509320417,4.382026634673881
127,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1.3862943611198906,0,1,0,4.61512051684126,4.61512051684126,4.564348191467836
128,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1.0986122886681098,0,1,0,4.143134726391533,4.219507705176107,4.248495242049359
129,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1.0986122886681098,1,0,1,4.060443010546419,4.23410650459726,4.174387269895637
130,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0.6931471805599453,1,1,0,4.007333185232471,3.912023005428146,3.871201010907891
131,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1.0986122886681098,1,0,1,4.07753744390572,4.189654742026425,4.07753744390572
132,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1.3862943611198906,1,0,1,4.248495242049359,4.48863636973214,4.48863636973214
133,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0.6931471805599453,1,1,0,4.219507705176107,4.330733340286331,4.382026634673881
134,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1.0986122886681098,1,0,1,4.07753744390572,4.0943445622221,4.07753744390572
135,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1.0986122886681098,0,1,0,4.143134726391533,4.477336814478207,4.499809670330265
136,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1.3862943611198906,1,1,1,4.262679877041316,4.158883083359672,4.204692619390966
137,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1.0986122886681098,0,1,0,4.418840607796598,4.3694478524670215,4.31748811353631
138,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1.3862943611198906,1,1,0,4.330733340286331,4.48863636973214,4.454347296253507
139,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1.0986122886681098,1,1,0,3.8918202981106265,3.9889840465642745,3.970291913552122
140,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0.6931471805599453,1,1,0,3.970291913552122,3.9889840465642745,3.912023005428146
141,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1.3862943611198906,0,0,1,4.343805421853684,4.499809670330265,4.465908118654584
142,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0.0,1,1,0,4.574710978503383,4.61512051684126,4.61512051684126
143,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1.791759469228055,0,1,0,3.9889840465642745,3.951243718581428,3.951243718581428
144,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0.6931471805599453,0,1,1,4.143134726391533,4.382026634673881,4.430816798843313
145,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1.0986122886681098,0,1,0,4.262679877041316,4.442651256490317,4.382026634673881
146,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1.791759469228055,1,1,1,4.343805421853684,4.330733340286331,4.356708826689592
147,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1.3862943611198906,1,0,1,4.5217885770490405,4.465908118654584,4.343805421853684
148,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1.3862943611198906,1,1,0,4.343805421853684,4.442651256490317,4.3694478524670215
149,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1.0986122886681098,1,1,0,4.158883083359672,4.219507705176107,4.262679877041316
150,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0.6931471805599453,1,0,1,3.737669618283368,3.9318256327243257,3.970291913552122
151,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0.6931471805599453,1,1,0,4.406719247264253,4.532599493153256,4.499809670330265
152,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1.0986122886681098,1,0,1,3.80666248977032,3.9889840465642745,4.04305126783455
153,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1.0986122886681098,1,1,0,4.007333185232471,4.290459441148391,4.189654742026425
154,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0.0,1,1,0,4.605170185988092,4.61512051684126,4.61512051684126
155,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1.0986122886681098,0,0,1,4.110873864173311,4.23410650459726,4.330733340286331
156,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0.6931471805599453,0,1,0,3.8501476017100575,4.174387269895637,4.204692619390966
157,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1.3862943611198906,0,1,0,3.9318256327243257,3.9318256327243257,3.871201010907891
158,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1.791759469228055,0,0,1,4.127134385045092,4.189654742026425,4.143134726391533
159,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0.6931471805599453,1,0,1,4.330733340286331,4.30406509320417,4.143134726391533
160,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1.6094379124341005,0,1,0,4.143134726391533,4.204692619390966,4.23410650459726
161,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1.3862943611198906,1,0,1,3.871201010907891,3.951243718581428,3.828641396489095
162,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0.6931471805599453,1,0,1,4.31748811353631,4.465908118654584,4.454347296253507
163,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1.0986122886681098,1,1,0,4.204692619390966,4.189654742026425,4.248495242049359
164,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1.0986122886681098,1,0,1,4.30406509320417,4.406719247264253,4.356708826689592
165,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1.3862943611198906,0,1,0,4.143134726391533,4.174387269895637,4.204692619390966
166,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1.6094379124341005,1,1,0,4.382026634673881,4.143134726391533,4.158883083359672
167,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0.6931471805599453,1,0,1,4.248495242049359,4.454347296253507,4.477336814478207
168,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1.6094379124341005,1,0,1,4.110873864173311,4.007333185232471,3.970291913552122
169,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0.6931471805599453,1,1,0,4.060443010546419,4.219507705176107,4.158883083359672
170,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,2.079441541679836,0,1,1,4.04305126783455,4.04305126783455,3.970291913552122
171,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1.3862943611198906,1,1,1,3.871201010907891,4.007333185232471,4.060443010546419
172,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1.3862943611198906,0,1,0,4.394449154672439,4.394449154672439,4.356708826689592
173,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0.6931471805599453,0,0,1,4.204692619390966,4.430816798843313,4.465908118654584
174,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1.3862943611198906,1,0,1,4.158883083359672,4.382026634673881,4.330733340286331
175,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1.0986122886681098,1,1,0,4.248495242049359,4.356708826689592,4.248495242049359
176,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1.0986122886681098,1,1,0,4.07753744390572,4.262679877041316,4.248495242049359
177,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0.6931471805599453,1,0,1,4.07753744390572,3.713572066704308,3.7612001156935615
178,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1.6094379124341005,1,1,0,4.442651256490317,4.143134726391533,4.158883083359672
179,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1.0986122886681098,1,1,0,4.430816798843313,4.406719247264253,4.356708826689592
180,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0.6931471805599453,0,0,1,4.30406509320417,4.394449154672439,4.343805421853684
181,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1.0986122886681098,1,1,0,4.07753744390572,4.127134385045092,4.204692619390966
182,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1.3862943611198906,1,0,1,4.356708826689592,4.356708826689592,4.356708826689592
183,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1.3862943611198906,1,1,0,3.58351893845611,3.367295829986474,3.332204510175204
184,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1.0986122886681098,1,1,0,3.7612001156935615,4.143134726391533,4.110873864173311
185,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,1,1,0,4.127134385045092,3.951243718581428,4.060443010546419
186,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0.6931471805599453,0,1,0,4.477336814478207,4.5217885770490405,4.406719247264253
